0 0 0
0 0 0.2
0 0 0.4
0 0 0.6
0 0 0.8
0 0.0859216 0.251161
0 0.0862558 0.749404
0 0.0983886 0.41788
0 0.0986028 0.583342
0 0 1
0 0.10027 0.900271
0 0.1 0.1
0 0.181102 0.693688
0 0.2 0
0 0.206635 0.437443
0 0.207057 0.564966
0 0.2 1
0 0.251161 0.0859217
0 0.251397 0.914219
0 0.307371 0.180476
0 0.307656 0.819694
0 0.335648 0.501871
0 0.340291 0.329788
0 0.345864 0.668958
0 0.4 0
0 0.4 1
0 0.417879 0.0983887
0 0.418565 0.901738
0 0.437395 0.573247
0 0.437439 0.206636
0 0.438417 0.793545
0 0.459848 0.459095
0 0.501171 0.678593
0 0.50896 0.338649
0 0.542536 0.572602
0 0.564969 0.207058
0 0.5685 0.792377
0 0.58334 0.0986024
0 0.585388 0.901073
0 0.6 0
0 0.6 1
0 0.646978 0.497107
0 0.661557 0.670667
0 0.676524 0.334345
0 0.701257 0.814666
0 0.749396 0.0862509
0 0.753435 0.911503
0 0.791253 0.577113
0 0.794207 0.441823
0 0.8 0
0 0.8 1
0 0.820117 0.308361
0 0.900304 0.100303
0 0.900642 0.58869
0 0.901963 0.419717
0 0.904699 0.895512
0 0.912719 0.751194
0 0.914313 0.251553
0 1 0
0 1 0.2
0 1 0.4
0 1 0.6
0 1 0.8
0 1 1
0.0949873 0.607867 0.704006
0.0988079 0.271515 0.646229
0.100009 0.682834 0.498168
0.10447 0.404153 0.318901
0.104888 0.410605 0.465292
0.108552 0.501019 0.588548
0.114587 0.554009 0.341369
0.115734 0.280491 0.3019
0.116252 0.700183 0.295853
0.118061 0.303406 0.458185
0.123106 0.438303 0.694727
0.134877 0.781538 0.718334
0.149992 0.561734 0.486549
0.156519 0.354016 0.581058
0.160541 0.667779 0.613836
0.170955 0.902929 0.661657
0.170955 1 0.685681
0.178695 0.343129 0.803968
0.178871 0 0.26782
0.178871 0.0934125 0.303515
0.178871 0.26782 1
0.178871 0.26782 2.04569e-08
0.178871 0.303515 0.0934126
0.178871 0.303864 0.906722
0.178992 0.196202 0.342686
0.178998 0.342682 0.196203
0.181369 0.658469 0.800803
0.181447 0.80399 0.348565
0.181627 0.906624 0.308989
0.181627 1 0.273198
0.182569 0 0.72493
0.182569 0.0939759 0.690746
0.182569 0.690736 0.0939724
0.182569 0.693668 0.905012
0.182569 0.72493 0
0.182569 0.72493 1
0.182663 0.197338 0.653112
0.18269 0.653123 0.197342
0.184887 0.790149 0.504684
0.18548 0.900059 0.500283
0.18548 1 0.496836
0.189703 0.498712 0.790045
0.190332 0 0.494468
0.190332 0.0999928 0.49567
0.190332 0.494468 0
0.190332 0.494468 1
0.190332 0.495668 0.0999928
0.190332 0.496786 0.900027
0.190435 0.209986 0.496921
0.190451 0.496917 0.209986
0.2 0 0
0.2 0 1
0.2 0.100436 0.900438
0.2 0.1 0.1
0.2 0.900367 0.100365
0.2 0.908586 0.892095
0.2 1 0
0.2 1 1
0.20006 0.210762 0.790765
0.200093 0.79081 0.210807
0.200189 0.209999 0.210001
0.213814 0.454052 0.409786
0.218098 0.678138 0.422724
0.229571 0.464077 0.564162
0.233252 0.320036 0.395231
0.238613 0.409484 0.306877
0.2419 0.765733 0.668148
0.243201 0.577447 0.328446
0.244953 0.375237 0.492237
0.249007 0.568367 0.660282
0.254168 0.299369 0.678863
0.261803 0.41743 0.682809
0.265866 0.323018 0.572284
0.269369 0.912303 0.773057
0.269369 0.956152 0.797084
0.269369 1 0.821112
